Order Id,Order Date,Ship Date,Customer Id,Customer Name,Customer Segment,Product Id,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount %,Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1020,21-01-2026,27-01-2026,CUST617,Wishi Garde,Consumer,PROD405,Headphones,Electronics,West,Mizoram,Tiruppur,4,10954,0,43816,30867.91,12948.09,Cash,Returned,"Mohanty, Goel and Venkataraman",gopal21@deshmukh-ahuja.biz,38,No,0
ORD1021,13-03-2026,16-03-2026,CUST458,Pranit Oak,Consumer,PROD642,Sofa,Furniture,South,Manipur,Farrukhabad,6,9611,5,54782.7,30840.12,23942.58,UPI,Pending,Mangat Group,tara86@dayal.com,8,Yes,42
ORD1022,8/12/2023,19-08-2023,CUST960,Isaiah Kothari,Home Office,PROD264,Rice Bag,Grocery,South,Haryana,Warangal,3,9982,0,29946,13004.73,16941.27,Cash,Returned,Hayer LLC,dbains@choudhry.com,37,No,0
ORD1023,11/9/2024,11/12/2024,CUST919,Hemal Mangal,Consumer,PROD105,Keyboard,Electronics,South,Sikkim,Sangli-Miraj & Kupwad,5,14863,0,74315,42146.66,32168.34,Credit Card,Cancelled,Balakrishnan-Kala,cmadan@narayanan-mitra.com,46,No,0
ORD1024,23-04-2026,26-04-2026,CUST387,Jairaj Lad,Consumer,PROD301,Pen,Office Supplies,East,Manipur,Darbhanga,6,7765,5,44260.5,25916.23,18344.27,UPI,Returned,Morar Group,manidalbir@aurora-randhawa.com,20,No,0
ORD1025,28-02-2026,3/7/2026,CUST195,Bhanumati Jayaraman,Home Office,PROD741,Stapler,Office Supplies,West,Uttar Pradesh,Gandhidham,10,1109,5,10535.5,6480.97,4054.53,Credit Card,Delivered,"Prasad, Sachdeva and Patel",waliaharsh@sathe.info,1,Yes,39
ORD1026,19-10-2023,26-10-2023,CUST811,Anay Toor,Corporate,PROD224,Laptop,Electronics,East,Bihar,Begusarai,3,2133,0,6399,3172.46,3226.54,Credit Card,Pending,Narayan Ltd,chanayashvi@issac.com,31,No,0
ORD1027,7/7/2025,13-07-2025,CUST467,Udarsh Gera,Consumer,PROD841,Laptop,Electronics,North,Bihar,Panihati,2,5517,0,11034,5199.93,5834.07,Credit Card,Cancelled,Bhatia and Sons,brijeshdey@srinivas.com,49,No,0
ORD1028,15-06-2025,18-06-2025,CUST159,Udarsh Mallick,Consumer,PROD510,Monitor,Electronics,North,Uttarakhand,Tiruchirappalli,1,8904,10,8013.6,5830.16,2183.44,Credit Card,Returned,Rajan-Kanda,mohammed67@kala-misra.info,6,Yes,43
ORD1029,16-11-2025,22-11-2025,CUST334,Vanya Wali,Consumer,PROD844,Calculator,Office Supplies,West,Assam,Bhavnagar,8,12288,20,78643.2,27244.34,51398.86,Cash,Returned,Oommen-Ahluwalia,darpan79@talwar.com,7,Yes,43
ORD1030,5/9/2025,5/12/2025,CUST529,Hardik Dyal,Consumer,PROD312,Stapler,Office Supplies,North,Gujarat,Kharagpur,10,8836,20,70688,26627.16,44060.84,Credit Card,Returned,Krishnamurthy Ltd,puridayamai@pandit-chawla.org,24,No,0
ORD1031,7/2/2026,7/9/2026,CUST974,Pallavi Bassi,Home Office,PROD800,Rice Bag,Grocery,East,West Bengal,Narasaraopet,8,11958,5,90880.8,68738.74,22142.06,Net Banking,Cancelled,"Varughese, Walia and Garde",williamkorpal@basak.info,22,No,0
ORD1032,11/9/2023,11/12/2023,CUST282,Ishwar Devi,Corporate,PROD547,Cooking Oil,Grocery,West,Meghalaya,Moradabad,5,11059,20,44236,31993.27,12242.73,Net Banking,Pending,Agate-Bava,ykothari@deep.com,14,No,0
ORD1033,27-02-2025,28-02-2025,CUST835,Leela Sankaran,Corporate,PROD616,Sofa,Furniture,North,Bihar,Proddatur,2,3222,0,6444,4958.31,1485.69,Credit Card,Returned,Jhaveri Inc,chasmum73@issac-sharma.biz,16,No,0
ORD1034,5/12/2026,17-05-2026,CUST584,Frederick Khurana,Corporate,PROD776,Study Table,Furniture,East,Madhya Pradesh,Eluru,8,3353,10,24141.6,12345.09,11796.51,Credit Card,Returned,Wable Inc,breddy@borde.net,38,No,0
ORD1035,4/2/2026,4/6/2026,CUST935,Vritti Solanki,Home Office,PROD429,Monitor,Electronics,East,Meghalaya,Bongaigaon,9,9372,15,71695.8,55049.78,16646.02,Cash,Returned,Das-Gupta,sacharyug@parekh-sharma.info,4,Yes,33
ORD1036,13-04-2025,17-04-2025,CUST252,Wridesh Luthra,Corporate,PROD946,Study Table,Furniture,West,Haryana,Coimbatore,4,2517,15,8557.8,6108.92,2448.88,Credit Card,Delivered,"Devan, Zachariah and Kata",nadigbarkha@vohra.net,11,No,0
ORD1037,27-12-2024,1/1/2025,CUST995,Sanaya Raj,Corporate,PROD204,Rice Bag,Grocery,West,Telangana,Noida,2,8731,10,15715.8,11934.07,3781.73,Net Banking,Returned,Dewan Inc,guneetmital@tata.com,23,No,0
ORD1038,10/7/2023,10/11/2023,CUST958,Jeet Radhakrishnan,Corporate,PROD252,Rice Bag,Grocery,South,Rajasthan,Guwahati,1,1276,0,1276,563.94,712.06,Cash,Delivered,Parsa PLC,harinichad@patil-som.com,41,No,0
ORD1039,11/4/2023,11/6/2023,CUST882,Yachana Konda,Corporate,PROD820,Notebook,Office Supplies,South,West Bengal,Sambhal,6,11276,10,60890.4,22949.76,37940.64,Net Banking,Cancelled,Anand-Chacko,aadiparsa@ganesh-bhavsar.org,9,Yes,31
ORD1040,30-12-2023,1/2/2024,CUST315,Chanchal Bhargava,Home Office,PROD290,Office Chairs,Furniture,North,Assam,Jorhat,10,2736,5,25992,7856.49,18135.51,Cash,Pending,Mital and Sons,aranganathan@sunder.com,1,Yes,40
ORD1041,2/11/2026,2/12/2026,CUST785,Indrajit Deshpande,Consumer,PROD313,Pen,Office Supplies,North,Kerala,Anand,7,2396,0,16772,10944.77,5827.23,UPI,Cancelled,"Bobal, Srivastava and Thakkar",onibasu@khosla-venkataraman.com,5,Yes,47
ORD1042,10/1/2024,10/5/2024,CUST836,Sanya Mand,Home Office,PROD514,Monitor,Electronics,East,Sikkim,Ulhasnagar,9,12911,20,92959.2,37953.02,55006.18,Net Banking,Returned,Mahajan Ltd,jprasad@balan.net,29,No,0
ORD1043,10/3/2025,10/8/2025,CUST109,Chaitanya Ravel,Home Office,PROD720,Mouse,Electronics,East,Sikkim,Karimnagar,3,3680,15,9384,3894.47,5489.53,UPI,Delivered,"Sura, Balay and Viswanathan",ranganathankashish@jani-krishna.com,6,Yes,20
ORD1044,6/9/2025,6/10/2025,CUST114,Ekantika Misra,Consumer,PROD271,Rice Bag,Grocery,East,Andhra Pradesh,Lucknow,9,14451,0,130059,74446.34,55612.66,Net Banking,Cancelled,"Bail, Kumar and Kurian",joshikamya@saha.info,27,No,0
ORD1045,20-05-2024,21-05-2024,CUST492,Gautami Natarajan,Consumer,PROD423,Keyboard,Electronics,South,Mizoram,Bhiwani,8,9208,15,62614.4,39382.18,23232.22,Cash,Returned,Wali and Sons,pooja46@viswanathan.com,13,No,0
ORD1046,29-05-2024,6/4/2024,CUST839,Girish Raman,Home Office,PROD311,Dining Table,Furniture,North,Telangana,Bharatpur,4,5482,5,20831.6,10175.55,10656.05,Net Banking,Pending,Vig Ltd,jsinghal@joshi.com,33,No,0
ORD1047,23-09-2025,30-09-2025,CUST788,Indali Chaudhary,Corporate,PROD772,Study Table,Furniture,North,Karnataka,Kalyan-Dombivli,8,7460,15,50728,18987.39,31740.61,UPI,Delivered,"Bail, Dyal and Bhagat",duttaanita@choudhry.com,23,No,0
ORD1048,13-08-2025,17-08-2025,CUST396,Darsh Banerjee,Corporate,PROD285,Notebook,Office Supplies,South,Sikkim,Rajpur Sonarpur,9,7110,15,54391.5,32211.16,22180.34,Cash,Cancelled,"Pradhan, Brar and Dubey",raoeesha@kara-gara.biz,2,Yes,29
ORD1049,6/11/2024,13-06-2024,CUST558,Henry Dugar,Consumer,PROD728,Pen,Office Supplies,North,West Bengal,Rajpur Sonarpur,3,3194,0,9582,7623.74,1958.26,Net Banking,Delivered,Mitra-Raghavan,bhardwajkrishna@sem.org,50,No,0
ORD1050,12/12/2024,16-12-2024,CUST709,Harrison Bava,Home Office,PROD288,Keyboard,Electronics,North,West Bengal,Mira-Bhayandar,7,9702,10,61122.6,46431.52,14691.08,Net Banking,Pending,"Balan, Prashad and Gandhi",wallareva@divan-pant.com,8,Yes,40
ORD1051,6/6/2025,6/8/2025,CUST188,Jagat Choudhary,Corporate,PROD915,Cooking Oil,Grocery,West,Meghalaya,Bhatpara,1,2490,15,2116.5,1067.27,1049.23,Net Banking,Returned,Kala-Srivastava,merchantlaksh@joshi.com,8,Yes,48
ORD1052,5/1/2024,5/3/2024,CUST760,Kritika Ray,Consumer,PROD184,Cooking Oil,Grocery,South,Maharashtra,Siliguri,8,6914,0,55312,21076.5,34235.5,UPI,Pending,Swaminathan and Sons,charitachanda@natt-dass.com,1,Yes,26
ORD1053,6/5/2024,6/7/2024,CUST901,Agastya Kothari,Home Office,PROD435,Cooking Oil,Grocery,West,Odisha,Rohtak,10,14930,0,149300,83360.15,65939.85,Cash,Pending,Sekhon Ltd,bhanda@varma.com,3,Yes,36
ORD1054,13-05-2026,19-05-2026,CUST549,Advik Mukhopadhyay,Consumer,PROD718,Cooking Oil,Grocery,South,Gujarat,Dehri,7,1928,5,12821.2,5916.14,6905.06,Net Banking,Delivered,Deol-Jhaveri,pdasgupta@prakash.info,47,No,0
ORD1055,26-03-2026,28-03-2026,CUST930,Vanya Narayanan,Consumer,PROD308,Keyboard,Electronics,North,Punjab,Farrukhabad,1,3348,15,2845.8,1487.83,1357.97,Net Banking,Cancelled,Toor LLC,framakrishnan@barman-deshpande.biz,24,No,0
ORD1056,18-04-2024,25-04-2024,CUST270,Rudra Divan,Home Office,PROD796,Pen,Office Supplies,West,Meghalaya,Arrah,2,5392,10,9705.6,6681.46,3024.14,Cash,Cancelled,"Goda, Om and Vyas",isaac60@kumer.biz,15,No,0
ORD1057,1/4/2024,1/6/2024,CUST356,Urvi Kothari,Consumer,PROD957,Monitor,Electronics,North,Nagaland,Amravati,5,12044,15,51187,36733.14,14453.86,Net Banking,Returned,Gokhale Group,noriutkarsh@dayal-pau.com,34,No,0
ORD1058,20-11-2023,27-11-2023,CUST797,Qasim Nagi,Home Office,PROD897,Rice Bag,Grocery,South,Sikkim,Bulandshahr,9,11155,5,95375.25,36166.05,59209.2,Net Banking,Returned,Bawa PLC,yborah@kalla-ray.com,44,No,0
ORD1059,30-09-2023,10/2/2023,CUST373,Amaira Zacharia,Corporate,PROD974,File Folder,Office Supplies,West,Tripura,Bikaner,5,3371,20,13484,9291.37,4192.63,Cash,Returned,Banik and Sons,birwridesh@oommen.com,19,No,0
ORD1060,5/11/2026,14-05-2026,CUST625,Arin Hayre,Consumer,PROD115,Cooking Oil,Grocery,South,West Bengal,Ramgarh,8,12467,15,84775.6,49599.47,35176.13,UPI,Cancelled,"Muni, Dhingra and Shankar",plal@kala-gupta.net,0,Yes,45
ORD1061,24-04-2025,27-04-2025,CUST636,Upasna Arya,Consumer,PROD316,Rice Bag,Grocery,South,Bihar,Miryalaguda,7,209,10,1316.7,1030.71,285.99,Net Banking,Cancelled,Nath-Sastry,zinalbadami@batta-sinha.info,17,No,0
ORD1062,16-06-2026,17-06-2026,CUST218,Rajeshri Dhingra,Corporate,PROD655,Keyboard,Electronics,East,Tripura,Tiruchirappalli,3,6422,20,15412.8,6693.27,8719.53,UPI,Pending,Bawa LLC,ltiwari@badal-narain.net,37,No,0
ORD1063,3/11/2025,18-03-2025,CUST129,Krishna Dara,Home Office,PROD794,Keyboard,Electronics,South,Uttarakhand,Nellore,3,5753,20,13807.2,8294.61,5512.59,UPI,Returned,Mittal-Kanda,subramaniandalaja@tank.com,20,No,0
ORD1064,11/12/2024,19-11-2024,CUST607,Harita Warrior,Home Office,PROD212,Sofa,Furniture,North,Telangana,Amaravati,10,12118,0,121180,49070.71,72109.29,Net Banking,Delivered,"Sawhney, Gala and Jha",nihal65@dada.info,46,No,0
ORD1065,22-12-2025,23-12-2025,CUST422,Maya Sarkar,Corporate,PROD538,Cooking Oil,Grocery,West,Karnataka,Purnia,7,5853,0,40971,31985.22,8985.78,Credit Card,Pending,"Rege, Tiwari and Chahal",binasalvi@grover-mitter.info,38,No,0
ORD1066,22-12-2023,29-12-2023,CUST412,Zansi Dhar,Consumer,PROD216,Cooking Oil,Grocery,South,Andhra Pradesh,Pimpri-Chinchwad,4,2899,20,9276.8,7321.23,1955.57,Credit Card,Cancelled,Shenoy-Rastogi,ishaanchada@mane.com,4,Yes,46
ORD1067,7/11/2025,13-07-2025,CUST624,Jason Bera,Consumer,PROD365,Keyboard,Electronics,South,Kerala,Pallavaram,10,9310,5,88445,30384.4,58060.6,Credit Card,Pending,Ramachandran LLC,nchander@sehgal-gill.info,49,No,0
ORD1068,15-08-2023,22-08-2023,CUST615,Aayush Bath,Home Office,PROD297,Notebook,Office Supplies,East,West Bengal,Tirupati,4,609,15,2070.6,1591.05,479.55,Net Banking,Delivered,Randhawa LLC,umenon@chada.com,19,No,0
ORD1069,14-11-2025,20-11-2025,CUST985,Darika Kala,Corporate,PROD358,Stapler,Office Supplies,West,Kerala,Bangalore,4,3935,10,14166,10343.26,3822.74,UPI,Delivered,Padmanabhan-Dewan,rajeshrikohli@seshadri.com,23,No,0
ORD1070,3/10/2026,3/11/2026,CUST516,Zaid Datta,Home Office,PROD681,Calculator,Office Supplies,West,Andhra Pradesh,Solapur,7,7083,0,49581,22360.27,27220.73,UPI,Cancelled,Sawhney LLC,aadi56@batta-prabhu.info,7,Yes,50
ORD1071,21-07-2024,24-07-2024,CUST968,Matthew Ahuja,Home Office,PROD172,Calculator,Office Supplies,North,Mizoram,Sambalpur,2,2594,10,4669.2,2390.73,2278.47,Cash,Delivered,Balasubramanian-Banik,mitalgaurangi@dhar.com,47,No,0
ORD1072,11/12/2025,15-11-2025,CUST837,Harita Chacko,Corporate,PROD158,Dining Table,Furniture,East,Kerala,Giridih,4,6804,0,27216,15966.6,11249.4,Cash,Delivered,Aurora and Sons,david45@seshadri.com,45,No,0
ORD1073,5/2/2024,5/7/2024,CUST382,Sanya Sen,Corporate,PROD284,Monitor,Electronics,North,Andhra Pradesh,Aurangabad,8,2111,5,16043.6,12513.99,3529.61,UPI,Cancelled,"Chawla, Nayar and Kalita",tandonekansh@biswas.com,35,No,0
ORD1074,28-02-2026,3/1/2026,CUST890,Charles Kaul,Consumer,PROD393,Cooking Oil,Grocery,South,Assam,Anantapur,9,10047,0,90423,70590.14,19832.86,UPI,Returned,Dua Inc,devansh48@gole.org,42,No,0
ORD1075,11/12/2025,14-11-2025,CUST769,Reyansh Kannan,Consumer,PROD801,Study Table,Furniture,North,Andhra Pradesh,Kakinada,10,10618,15,90253,61652.4,28600.6,Credit Card,Delivered,Hans-Varty,zbandi@bhakta-johal.com,2,Yes,45
ORD1076,19-11-2025,24-11-2025,CUST800,Yashvi Wason,Consumer,PROD836,Mouse,Electronics,East,Andhra Pradesh,Naihati,6,4721,20,22660.8,9746.12,12914.68,Cash,Cancelled,Vasa-Upadhyay,dmorar@tak.org,30,No,0
ORD1077,8/3/2024,8/8/2024,CUST960,Madhavi Lal,Corporate,PROD875,Rice Bag,Grocery,North,Odisha,Begusarai,10,10787,15,91689.5,73034.1,18655.4,UPI,Pending,"Pillay, Bera and Bhatti",kapurleela@hans-nazareth.com,25,No,0
ORD1078,28-07-2024,31-07-2024,CUST633,Jai Kakar,Corporate,PROD991,Office Chairs,Furniture,North,Mizoram,Coimbatore,4,13258,0,53032,30504.9,22527.1,UPI,Pending,Misra and Sons,ltara@edwin-tata.biz,27,No,0
ORD1079,15-11-2024,22-11-2024,CUST164,Shivansh Kala,Consumer,PROD145,Headphones,Electronics,South,Manipur,Kirari Suleman Nagar,5,5515,10,24817.5,7497.15,17320.35,UPI,Cancelled,Bhavsar LLC,dhruvsuri@prasad-gola.info,30,No,0
ORD1080,7/1/2026,7/8/2026,CUST494,Vrinda Banerjee,Corporate,PROD580,Notebook,Office Supplies,North,Jharkhand,Nagercoil,2,1034,20,1654.4,1175.29,479.11,UPI,Delivered,Dayal-Deol,doravansha@mutti.com,32,No,0
ORD1081,20-04-2025,27-04-2025,CUST819,Geetika Bhatt,Home Office,PROD162,File Folder,Office Supplies,East,Tamil Nadu,Medininagar,2,12820,20,20512,14309.01,6202.99,Cash,Cancelled,Bera-Ravel,warinderchaudhary@thaker.biz,30,No,0
ORD1082,18-10-2025,25-10-2025,CUST218,Ganga Ramachandran,Home Office,PROD448,Pen,Office Supplies,West,Nagaland,Kurnool,5,14979,5,71150.25,49775.57,21374.68,UPI,Returned,Devan Ltd,parth15@shanker.com,4,Yes,28
ORD1083,6/8/2026,13-06-2026,CUST882,Hamsini Bal,Home Office,PROD250,Bookshelf,Furniture,West,Kerala,Kishanganj,4,11732,5,44581.6,25484.2,19097.4,Net Banking,Delivered,"Pall, Vasa and Sinha",smurty@patel.com,48,No,0
ORD1084,4/12/2024,13-04-2024,CUST806,Veer Sachdev,Home Office,PROD949,Notebook,Office Supplies,North,Goa,Rewa,2,9223,10,16601.4,13106.46,3494.94,UPI,Pending,"Srinivasan, Mitra and Chandran",jmorar@hayer-toor.com,47,No,0
ORD1085,10/6/2023,13-10-2023,CUST657,Sudiksha Bakshi,Consumer,PROD443,Cooking Oil,Grocery,East,Odisha,Mau,8,2297,10,16538.4,6594.44,9943.96,Credit Card,Returned,"Bhasin, Krishna and Dani",lankaubika@behl.com,45,No,0
ORD1086,4/4/2025,4/6/2025,CUST172,Darsh Sharaf,Corporate,PROD804,Cooking Oil,Grocery,South,Telangana,Satara,5,6983,5,33169.25,15226.83,17942.42,Cash,Cancelled,Upadhyay-Mannan,lucky72@baria.org,33,No,0
ORD1087,1/1/2025,1/5/2025,CUST704,Reva Master,Corporate,PROD488,Pen,Office Supplies,West,Jharkhand,Muzaffarpur,8,6943,20,44435.2,28323.3,16111.9,Net Banking,Delivered,"Wagle, Memon and Kapur",tchandra@chaudry.biz,7,Yes,29
ORD1088,14-12-2024,16-12-2024,CUST972,Madhavi Ghosh,Home Office,PROD633,Cooking Oil,Grocery,North,Himachal Pradesh,Madurai,10,7868,20,62944,38864.33,24079.67,Cash,Returned,Aggarwal and Sons,xalak60@deep.net,18,No,0
ORD1089,31-03-2026,4/6/2026,CUST739,Udarsh Bora,Corporate,PROD741,Cooking Oil,Grocery,North,Meghalaya,Mango,10,1688,20,13504,4938.39,8565.61,Credit Card,Pending,"Dixit, Raval and Dhingra",christopher97@agarwal.com,35,No,0
ORD1090,1/10/2026,15-01-2026,CUST774,Wyatt Edwin,Home Office,PROD488,Cooking Oil,Grocery,North,Maharashtra,Sultan Pur Majra,10,5422,15,46087,34808.24,11278.76,UPI,Returned,Bandi-Hans,omall@prakash.com,6,Yes,27
ORD1091,12/6/2024,13-12-2024,CUST870,Arjun Majumdar,Home Office,PROD737,Dining Table,Furniture,North,Arunachal Pradesh,Arrah,10,9381,20,75048,51189.21,23858.79,Net Banking,Pending,Soni Group,falgunichacko@sha-keer.net,37,No,0
ORD1092,27-05-2024,6/3/2024,CUST700,Wakeeta Wagle,Home Office,PROD532,Keyboard,Electronics,North,Himachal Pradesh,Jehanabad,5,2438,20,9752,5564.85,4187.15,Cash,Returned,"Magar, Rao and Chhabra",yaminirout@acharya.com,43,No,0
ORD1093,22-08-2024,23-08-2024,CUST271,Oni Shanker,Corporate,PROD309,Cooking Oil,Grocery,North,Telangana,Burhanpur,4,1498,5,5692.4,2891.01,2801.39,Credit Card,Cancelled,"Khosla, Mukherjee and Vohra",dhawanagastya@badami.com,4,Yes,45
ORD1094,26-01-2026,29-01-2026,CUST266,Bhavani Barad,Corporate,PROD189,File Folder,Office Supplies,West,Maharashtra,Tenali,1,3902,15,3316.7,2372.23,944.47,Net Banking,Pending,Mahal-Raju,qbhavsar@chacko-comar.com,16,No,0
ORD1095,16-02-2025,20-02-2025,CUST180,Banjeet Parekh,Home Office,PROD308,Mouse,Electronics,West,Himachal Pradesh,Silchar,8,14774,5,112282.4,69394.95,42887.45,Credit Card,Pending,"Nagar, Gulati and Mittal",golanidhi@gera.com,8,Yes,28
ORD1096,3/6/2025,3/8/2025,CUST697,Ekansh Bera,Consumer,PROD349,Sofa,Furniture,North,Nagaland,Guwahati,4,12803,0,51212,25478.64,25733.36,UPI,Pending,Chad LLC,aaravsavant@chhabra.info,4,Yes,21
ORD1097,21-04-2026,22-04-2026,CUST845,Darsh Upadhyay,Home Office,PROD263,File Folder,Office Supplies,West,Assam,Raichur,6,9464,0,56784,42764.81,14019.19,Cash,Delivered,Apte-Gulati,falakbadal@koshy-dar.com,37,No,0
ORD1098,18-02-2025,25-02-2025,CUST822,Chandani Karan,Consumer,PROD307,File Folder,Office Supplies,West,Punjab,Bharatpur,5,1254,20,5016,1699.65,3316.35,Credit Card,Cancelled,Sarna-Kaul,abha11@wable.info,6,Yes,32
ORD1099,25-06-2025,27-06-2025,CUST239,Ira Chaudhari,Consumer,PROD990,Dining Table,Furniture,South,Kerala,Chapra,4,9643,5,36643.4,27828.29,8815.11,Cash,Delivered,Gera Ltd,pathakrudra@raj.com,18,No,0
ORD1100,23-03-2024,30-03-2024,CUST359,Isaiah Sharma,Home Office,PROD851,Office Chairs,Furniture,West,Bihar,Bangalore,2,154,5,292.6,209.52,83.08,UPI,Returned,"Pradhan, Hegde and Shere",krishahayer@kari-tandon.com,6,Yes,21
ORD1101,18-03-2025,23-03-2025,CUST310,Bhanumati Date,Home Office,PROD827,Notebook,Office Supplies,South,Goa,Dehri,2,10312,20,16499.2,8112.31,8386.89,Net Banking,Returned,Chand-Warrior,dvora@thaker.com,23,No,0
ORD1102,7/8/2026,13-07-2026,CUST369,Vrinda Ram,Corporate,PROD545,Headphones,Electronics,East,Karnataka,Kolkata,2,12124,5,23035.6,13870.69,9164.91,Credit Card,Delivered,Rau Ltd,ishita78@ramesh-dash.com,3,Yes,47
